episode,run,method,throughput,avg_option_duration,npca_switch_ratio,avg_loss,epsilon
0,0,drl_npca,4773,118.0701754385965,0.5263157894736842,0.0,0.9
1,0,drl_npca,4759,116.33870967741936,0.5483870967741935,0.0,0.8529049589615448
2,0,drl_npca,4549,121.16666666666667,0.5833333333333334,0.0008905355158882836,0.8046366306476576
3,0,drl_npca,4782,134.13725490196077,0.6274509803921569,0.0006675528517613808,0.7606900144874802
4,0,drl_npca,4804,105.72307692307692,0.7538461538461538,0.0004815927435023089,0.725353562127834
5,0,drl_npca,3954,124.24615384615385,0.6923076923076923,0.0003117685846518725,0.682851849346023
6,0,drl_npca,4389,119.375,0.734375,0.00017670746213601282,0.6430248771603764
7,0,drl_npca,5082,117.37931034482759,0.603448275862069,0.00014103759895078838,0.6062602996225298
8,0,drl_npca,4698,127.94545454545455,0.6363636363636364,0.00011670765282663827,0.5749150024999781
9,0,drl_npca,4290,114.4090909090909,0.6363636363636364,8.106676007931431e-05,0.546824253804195
10,0,drl_npca,4082,130.6271186440678,0.4576271186440678,9.613339595186214e-05,0.5150925181147596
11,0,drl_npca,3993,164.48888888888888,0.4444444444444444,8.215303387260064e-05,0.488445865111105
12,0,drl_npca,3849,139.88135593220338,0.3728813559322034,0.00011183958849869668,0.46915314296635136
13,0,drl_npca,4470,141.94117647058823,0.37254901960784315,0.00010446108353789896,0.44513850518785303
14,0,drl_npca,4387,139.47058823529412,0.43137254901960786,9.474123119919871e-05,0.42549169338608345
15,0,drl_npca,4545,137.68627450980392,0.27450980392156865,9.164169750874862e-05,0.4068217471868971
16,0,drl_npca,3662,134.8548387096774,0.3870967741935484,8.669996896060184e-05,0.3890800955338223
17,0,drl_npca,3971,137.91379310344828,0.3620689655172414,9.992343499713267e-05,0.36869557904372713
18,0,drl_npca,4055,135.85714285714286,0.375,8.690636605024338e-05,0.35073706641295316
19,0,drl_npca,4295,138.0,0.3148148148148148,7.819781603757292e-05,0.33435866590631647
20,0,drl_npca,5176,121.88,0.46,8.651329456673314e-05,0.31941052984166246
21,0,drl_npca,3629,135.5737704918033,0.4918032786885246,8.586768672103062e-05,0.30627122325571704
22,0,drl_npca,4698,116.98360655737704,0.6229508196721312,6.789420391820992e-05,0.2911059225248048
23,0,drl_npca,4646,132.40384615384616,0.5192307692307693,7.971319185647492e-05,0.2768380551589705
24,0,drl_npca,3998,144.58823529411765,0.45098039215686275,7.901947295370822e-05,0.26534391386091033
25,0,drl_npca,4546,153.4318181818182,0.4318181818181818,8.345486761148398e-05,0.25463672817099536
26,0,drl_npca,4934,118.16666666666667,0.5,8.092729937440406e-05,0.2458279268675701
27,0,drl_npca,4576,133.7843137254902,0.5294117647058824,9.027043658231075e-05,0.23553366526402203
28,0,drl_npca,4614,112.875,0.59375,8.444744889857247e-05,0.22630868476610316
29,0,drl_npca,3993,148.64,0.48,8.835416277482484e-05,0.21537842777129212
30,0,drl_npca,4108,125.2258064516129,0.3387096774193548,8.216935627084847e-05,0.2073128266737191
31,0,drl_npca,4964,112.64406779661017,0.576271186440678,7.386271075423186e-05,0.19785563366336129
32,0,drl_npca,4257,137.8181818181818,0.36363636363636365,6.201581345521845e-05,0.1893845067124631
33,0,drl_npca,5597,108.88679245283019,0.4528301886792453,7.381201430689543e-05,0.181925365458169
34,0,drl_npca,4041,136.96428571428572,0.375,7.482858685155709e-05,0.17511537973995006
35,0,drl_npca,3856,139.0701754385965,0.49122807017543857,7.022358477115631e-05,0.16830148804591116
36,0,drl_npca,4938,121.07407407407408,0.48148148148148145,7.931834503930683e-05,0.16174688400540235
37,0,drl_npca,4404,126.61016949152543,0.3389830508474576,7.333974402475481e-05,0.15587258570825044
38,0,drl_npca,5511,111.41509433962264,0.49056603773584906,6.933668070511582e-05,0.14980680321533293
39,0,drl_npca,3993,135.77586206896552,0.43103448275862066,7.131573753819491e-05,0.14465477727917572
40,0,drl_npca,4740,135.44,0.44,7.344479430078839e-05,0.13932097560413603
41,0,drl_npca,4304,123.01612903225806,0.4838709677419355,7.403947771914925e-05,0.13496474021976462
42,0,drl_npca,4589,125.58928571428571,0.375,7.12831097189337e-05,0.12985690531320732
43,0,drl_npca,4865,123.5,0.4074074074074074,6.754493976283508e-05,0.12550782924473125
44,0,drl_npca,4339,132.94230769230768,0.4807692307692308,7.226084805248927e-05,0.12153854171871381
45,0,drl_npca,4487,123.03448275862068,0.6379310344827587,7.489102669448282e-05,0.11791360274541936
46,0,drl_npca,4744,127.05555555555556,0.46296296296296297,7.172023955111702e-05,0.1140866676609586
47,0,drl_npca,4654,127.83018867924528,0.4528301886792453,7.565159467048943e-05,0.1107177665407027
48,0,drl_npca,4223,131.01754385964912,0.38596491228070173,6.01343478289588e-05,0.10758351618976887
49,0,drl_npca,3604,138.11864406779662,0.5932203389830508,6.690567291419332e-05,0.10439304788612686
50,0,drl_npca,4608,135.5,0.54,6.744157872162759e-05,0.10127669443733808
51,0,drl_npca,4179,120.015625,0.5625,6.0387857956811786e-05,0.09877590053992805
52,0,drl_npca,4340,132.42592592592592,0.5185185185185185,7.356962062961732e-05,0.09575203856306612
53,0,drl_npca,4389,120.26984126984127,0.6349206349206349,6.019443268693673e-05,0.09334695027255724
54,0,drl_npca,4292,127.16666666666667,0.5333333333333333,7.604338073482116e-05,0.09070033606274502
55,0,drl_npca,4519,125.14545454545454,0.6181818181818182,6.942996939566608e-05,0.08833013300885323
56,0,drl_npca,3285,169.9591836734694,0.4489795918367347,7.342713797697797e-05,0.08627890161196118
57,0,drl_npca,4174,142.42307692307693,0.4230769230769231,6.35123857743262e-05,0.0845440855210981
58,0,drl_npca,4700,123.42105263157895,0.5087719298245614,6.9176410761429e-05,0.08279369756386792
59,0,drl_npca,3971,149.25,0.38461538461538464,6.983864053230111e-05,0.08097673223142907
60,0,drl_npca,4078,141.1818181818182,0.34545454545454546,6.511971150757745e-05,0.07940710610775817
61,0,drl_npca,4637,135.59615384615384,0.46153846153846156,7.442406058544293e-05,0.07783338917528528
62,0,drl_npca,4734,131.35185185185185,0.4074074074074074,5.991615277404586e-05,0.07642303980617073
63,0,drl_npca,4838,131.12,0.4,6.657453923253343e-05,0.0750340362637412
64,0,drl_npca,4099,129.6271186440678,0.4576271186440678,7.213900001564373e-05,0.07381311190808854
